C/A,UNIT,STATION,LINENAME,DIVISION,LATITUDE,LONGITUDE,STREET,CITY,STATE,COUNTY,ZIP
R081,A016,SARATOGA AV,NQR,BMT,40.760139,-73.984112,7th Ave,New York,NY,New York County,10019
R116,R154,215 ST,1,IRT,40.761675,-73.983908,Broadway,New York,NY,New York County,10019
R116,R155,MT EDEN AV,1,IRT,40.761675,-73.983908,Broadway,New York,NY,New York County,10019
R400,E016,CYPRESS AV,D,BMT,40.588879,-73.983629,Stillwell Ave,Brooklyn,NY,Kings County,11223
R231,C010,46 ST,R,BMT,40.677302,-73.983135,4th Ave,Brooklyn,NY,Kings County,11215
R231,C011,176 ST,R,BMT,40.677302,-73.983135,4th Ave,Brooklyn,NY,Kings County,11215
R164,R160A,52 ST-LINCOLN,1,IRT,40.773424,-73.982234,Broadway,New York,NY,New York County,10023
R164,R159,DITMARS BL-31 S,1,IRT,40.773424,-73.982234,Broadway,New York,NY,New York County,10023
R164,R160,ROCKAWAY AV,1,IRT,40.773424,-73.982234,Broadway,New York,NY,New York County,10023
R394,D010,CHAUNCEY ST,N,BMT,40.612006,-73.982009,W 7th St,Brooklyn,NY,Kings County,11204
R394,D011,MARBLE HILL-225,N,BMT,40.612006,-73.982009,W 7th St,Brooklyn,NY,Kings County,11204
R054,R501,JACKSON AV,7BDFM,IRT,40.753824,-73.981966,W 42nd St,New York,NY,New York County,10036
R054,R500,SENECA AV,7BDFM,IRT,40.753824,-73.981966,W 42nd St,New York,NY,New York County,10036
R452,R161B,BURNSIDE AV,123,IRT,40.778575,-73.981912,Broadway,New York,NY,New York County,10023
R452,R161A,E 143 ST,123,IRT,40.778575,-73.981912,Broadway,New York,NY,New York County,10023
R084,N049,NORTHERN BLVD,1ABCD,IND,40.76811,-73.981891,Columbus Cir,New York,NY,New York County,10023
R084,N051,BUSHWICK AV,ABCD1,IND,40.76811,-73.981891,Columbus Cir,New York,NY,New York County,10023
R084,R158,TREMONT AV,1ABCD,IRT,40.76811,-73.981891,Columbus Cir,New York,NY,New York County,10023
R099,C008,231 ST,BDNQR,BMT,40.690612,-73.981848,Flatbush Ave Exn,Brooklyn,NY,Kings County,11201
R176,R231,BROADWAY-ENY,6,IRT,40.746119,-73.981826,E 33rd St,New York,NY,New York County,10016
R176,R231A,E 149 ST,6,IRT,40.746119,-73.981826,E 33rd St,New York,NY,New York County,10016
R176,R232,WILSON AV,6,IRT,40.746119,-73.981826,E 33rd St,New York,NY,New York County,10016
R176,R232A,183 ST,6,IRT,40.746119,-73.981826,E 33rd St,New York,NY,New York County,10016
R248,H007,FOREST AV,L,BMT,40.730901,-73.981719,E 14th St,New York,NY,New York County,10009
R248,H008,61 ST/WOODSIDE,L,BMT,40.730901,-73.981719,E 14th St,New York,NY,New York County,10009
R113,N301,JUNIUS ST,BDE,IND,40.762877,-73.98159,W 53rd St,New York,NY,New York County,10019
R113,N300,ROCKAWAY PKY,BDE,IND,40.762877,-73.98159,W 53rd St,New York,NY,New York County,10019
R020,N500,FORDHAM ROAD,BDFM,IND,40.758652,-73.981311,W 48th St,New York,NY,New York County,10036
R020,N501,238 ST,BDFM,IND,40.758652,-73.981311,W 48th St,New York,NY,New York County,10036
R020,N501A,182-183 ST,BDFM,IND,40.758652,-73.981311,W 48th St,New York,NY,New York County,10036
R151,G001,LIVONIA AV,DFNQ,BMT,40.577423,-73.981225,Stillwell Ave,Brooklyn,NY,Kings County,11224
R151,G009,EAST 105 ST,DFNQ,BMT,40.577423,-73.981225,Stillwell Ave,Brooklyn,NY,Kings County,11224
R395,D012,NEW LOTS AV,N,BMT,40.603967,-73.980668,W 8th St,Brooklyn,NY,Kings County,11223
R080,A010,ALABAMA AV,NQR,BMT,40.764755,-73.980646,7th Ave,New York,NY,New York County,10019
R080,A011,242 ST,NQR,BMT,40.764755,-73.980646,7th Ave,New York,NY,New York County,10019
R056,R608,65 ST,2345,IRT,40.688269,-73.980453,Flatbush Ave,Brooklyn,NY,Kings County,11217
R056,R609,KINGSBRIDGE RD,2345,IRT,40.688269,-73.980453,Flatbush Ave,Brooklyn,NY,Kings County,11217
R288,N539A,INTERVALE-163,FG,IND,40.666276,-73.980324,9th St,Brooklyn,NY,Kings County,11215
R166,R162,LIBERTY AV,1,IRT,40.783872,-73.979938,Broadway,New York,NY,New York County,10024
R166,R163,69 ST-FISK AV,1,IRT,40.783872,-73.979938,Broadway,New York,NY,New York County,10024
R204,N546,LONGWOOD AV,FG,IND,40.644039,-73.979541,Mcdonald Ave,Brooklyn,NY,Kings County,11218
R204,N545,FRESH POND ROAD,FG,IND,40.644039,-73.979541,Mcdonald Ave,Brooklyn,NY,Kings County,11218
R241,N542,PENNSYLVANIA AV,FG,IND,40.660376,-73.979509,16th St,Brooklyn,NY,Kings County,11215
R241,N541,SIMPSON ST,FG,IND,40.660376,-73.979509,16th St,Brooklyn,NY,Kings County,11215
R396,D015,FREEMAN ST,N,BMT,40.597482,-73.979359,W 8th St,Brooklyn,NY,Kings County,11223
R397,D016,VAN SICLEN AV,N,BMT,40.592676,-73.978243,86th St,Brooklyn,NY,Kings County,11223
R420,N548,ROOSEVELT AV,F,IND,40.63615,-73.978179,Mcdonald Ave,Brooklyn,NY,Kings County,11218
R420,N547,74 ST-BROADWAY,F,IND,40.63615,-73.978179,Mcdonald Ave,Brooklyn,NY,Kings County,11218
R302,N600,HUNTS POINT AV,F,IND,40.763625,-73.977449,W 56th St,New York,NY,New York County,10019
R057,B001,BEDFORD PARK BL,2345BDNQR,BMT,40.684063,-73.977417,Atlantic Ave,Brooklyn,NY,Kings County,11217
R057,B002,174 ST,BDNQR2345,BMT,40.684063,-73.977417,Atlantic Ave,Brooklyn,NY,Kings County,11217
R057,C009,WHITLOCK AV,BDNQR2345,BMT,40.684063,-73.977417,Atlantic Ave,Brooklyn,NY,Kings County,11217
R057,R610,CLEVELAND ST,2345BDNQR,IRT,40.684063,-73.977417,Atlantic Ave,Brooklyn,NY,Kings County,11217
R242,N549,MOSHOLU PARKWAY,F,IND,40.629881,-73.977149,Webster Ave,Brooklyn,NY,Kings County,11230
R242,N550,82 ST-JACKSON H,F,IND,40.629881,-73.977149,Webster Ave,Brooklyn,NY,Kings County,11230
R045,R236,ELMHURST AV,4567S,IRT,40.751849,-73.976945,E 42nd St,New York,NY,New York County,10017
R045,R233,SHEPHERD AV,4567S,IRT,40.751849,-73.976945,E 42nd St,New York,NY,New York County,10017
R046,R238,NORWOOD AV,4567S,IRT,40.751849,-73.976945,E 42nd St,New York,NY,New York County,10017
R046,R237,E TREMONT AV,4567S,IRT,40.751849,-73.976945,E 42nd St,New York,NY,New York County,10017
R046,R238A,ELDER AV,4567S,IRT,40.751849,-73.976945,E 42nd St,New York,NY,New York County,10017
R047,R240,NORWOOD-205 ST,4567S,IRT,40.751849,-73.976945,E 42nd St,New York,NY,New York County,10017
R047,R237B,WOODLAWN ROAD,4567S,IRT,40.751849,-73.976945,E 42nd St,New York,NY,New York County,10017
R048,R241A,GRAND AV-NEWTON,4567S,IRT,40.751849,-73.976945,E 42nd St,New York,NY,New York County,10017
R281,N046,90 ST-ELMHURST,BC,IND,40.775545,-73.976398,Central Park W,New York,NY,New York County,10023
R167,R164,MORRISON AV,1,IRT,40.788844,-73.97599,Broadway,New York,NY,New York County,10024
R167,R165,CRESCENT ST,1,IRT,40.788844,-73.97599,Broadway,New York,NY,New York County,10024
R167,R166,E 180 ST,1,IRT,40.788844,-73.97599,Broadway,New York,NY,New York County,10024
R312,G011,CYPRESS HILLS,FQ,BMT,40.576152,-73.975925,W 8th St,Brooklyn,NY,Kings County,11224
R312,G015,EUCLID AV,FQ,BMT,40.576152,-73.975925,W 8th St,Brooklyn,NY,Kings County,11224
R289,N543,LGA AIRPORT CTB,FG,IND,40.650722,-73.975818,Prospect Ave,Brooklyn,NY,Kings County,11218
R289,N544,JUNCTION BLVD,FG,IND,40.650722,-73.975818,Prospect Ave,Brooklyn,NY,Kings County,11218
R421,N551,WOODHAVN BLVD,F,IND,40.625305,-73.975732,Mcdonald Ave,Brooklyn,NY,Kings County,11230
R422,N553,BRONX PARK EAST,F,IND,40.620907,-73.975453,22nd Ave,Brooklyn,NY,Kings County,11204
R318,N422,ST LAWRENCE AV,G,IND,40.68713,-73.975346,Lafayette Ave,Brooklyn,NY,Kings County,11217
R015,N303,PELHAM PARKWAY,EM,IND,40.760179,-73.975196,E 53rd St,New York,NY,New York County,10022
R015,N304,ALLERTON AV,EM,IND,40.760179,-73.975196,E 53rd St,New York,NY,New York County,10022
R058,R617,ELDERTS LANE,23,IRT,40.680801,-73.975132,Flatbush Ave,Brooklyn,NY,Kings County,11217
R058,R618,BURKE AV,23,IRT,40.680801,-73.975132,Flatbush Ave,Brooklyn,NY,Kings County,11217
R426,N562,GUN HILL ROAD,F,IND,40.580992,-73.974531,W 6th St,Brooklyn,NY,Kings County,11224
R271,N561,GRANT AV,F,IND,40.589547,-73.974295,Shell Rd,Brooklyn,NY,Kings County,11223
R423,N555,219 ST,F,IND,40.615174,-73.974166,Mcdonald Ave,Brooklyn,NY,Kings County,11230
R423,N554,103 ST-CORONA,F,IND,40.615174,-73.974166,Mcdonald Ave,Brooklyn,NY,Kings County,11230
R283,N110,63 DR-REGO PARK,C,IND,40.68617,-73.973908,Fulton St,Brooklyn,NY,Kings County,11217
R079,A006,MORRIS PARK,NQR,BMT,40.764909,-73.973372,Central Park S,New York,NY,New York County,10019
R079,A007,E 177 ST-PARKCH,NQR,BMT,40.764909,-73.973372,Central Park S,New York,NY,New York County,10019
R425,N559,225 ST,F,IND,40.596065,-73.973329,Mcdonald Ave,Brooklyn,NY,Kings County,11223
R424,N556,FOREST PARKWAY,F,IND,40.609147,-73.972986,Mcdonald Ave,Brooklyn,NY,Kings County,11230
R171,B004,HUDSON-80 ST,BQ,BMT,40.677172,-73.972514,Flatbush Ave,Brooklyn,NY,Kings County,11238
R168,R168A,233 ST,123,IRT,40.79388,-73.972363,Broadway,New York,NY,New York County,10025
R168,R168,111 ST,123,IRT,40.79388,-73.972363,Broadway,New York,NY,New York County,10025
R130,N557,NEREID AV,F,IND,40.603234,-73.972342,Mcdonald Ave,Brooklyn,NY,Kings County,11223
R130,N558,67 AV,F,IND,40.603234,-73.972342,Mcdonald Ave,Brooklyn,NY,Kings County,11223
R187,N044,BOYD-88 ST,BC,IND,40.781435,-73.972149,W 79st Transverse Rd,New York,NY,New York County,10024
R187,N045,CASTLE HILL AV,BC,IND,40.781435,-73.972149,W 79st Transverse Rd,New York,NY,New York County,10024
R049,R243,WAKEFIELD-241,6,IRT,40.757108,-73.97187,E 51st St,New York,NY,New York County,10022
R049,R242,ZEREGA AV,6,IRT,40.757108,-73.97187,E 51st St,New York,NY,New York County,10022
R049,R242A,METS-WILLETS PT,6,IRT,40.757108,-73.97187,E 51st St,New York,NY,New York County,10022
R059,R619,FOREST HILLS-71,23,IRT,40.675219,-73.971012,Flatbush Ave,Brooklyn,NY,Kings County,11238
R016,N305A,104 ST,EM6,IND,40.75753,-73.969102,E 53rd St,New York,NY,New York County,10022
R017,N306,ROCKAWAY BLVD,EM6,IND,40.75753,-73.969102,E 53rd St,New York,NY,New York County,10022
R017,N305,WESTCHESTER SQ,EM6,IND,40.75753,-73.969102,E 53rd St,New York,NY,New York County,10022
R186,N043,BAYCHESTER AV,BC,IND,40.785822,-73.968952,Central Park W,New York,NY,New York County,10024
R186,N042,OXFORD-104 ST,BC,IND,40.785822,-73.968952,Central Park W,New York,NY,New York County,10024
R264,B032,ROCKAWAY PK 116,Q,BMT,40.576298,-73.968523,Brighton Beach Ave,Brooklyn,NY,Kings County,11235
R264,B034,75 AV,Q,BMT,40.576298,-73.968523,Brighton Beach Ave,Brooklyn,NY,Kings County,11235
R191,R170,MIDDLETOWN ROAD,1,IRT,40.799354,-73.968329,Broadway,New York,NY,New York County,10025
R050,A004,AQUEDUCT-N CNDT,456NQR,BMT,40.762796,-73.967686,E 60th St,New York,NY,New York County,10022
R051,A002,AQUEDUCT TRACK,456NQR,BMT,40.762796,-73.967686,E 60th St,New York,NY,New York County,10022
R050,R244,BUHRE AV,456NQR,IRT,40.762796,-73.967686,E 60th St,New York,NY,New York County,10022
R050,R244A,GREENWOOD-111,456NQR,IRT,40.762796,-73.967686,E 60th St,New York,NY,New York County,10022
R051,R245,UNION TPK-KEW G,456NQR,IRT,40.762796,-73.967686,E 60th St,New York,NY,New York County,10022
R051,R245A,DYRE AV,456NQR,IRT,40.762796,-73.967686,E 60th St,New York,NY,New York County,10022
R317,N420B,HOWARD BCH-JFK,G,IND,40.688123,-73.966742,Lafayette Ave,Brooklyn,NY,Kings County,11238
R192,R172,JFK HOWARD BCH,1,IRT,40.804032,-73.966742,Broadway,New York,NY,New York County,10025
R192,R171,MAIN ST,1,IRT,40.804032,-73.966742,Broadway,New York,NY,New York County,10025
R319,N601,121 ST,F,IND,40.764763,-73.966291,Lexington Ave,New York,NY,New York County,10065
R284,N111,PELHAM BAY PARK,C,IND,40.683263,-73.965838,Fulton St,Brooklyn,NY,Kings County,11238
R284,N112A,ORCHARD BEACH,C,IND,40.683263,-73.965838,Fulton St,Brooklyn,NY,Kings County,11238
R251,N040,BEACH 105 ST,BC,IND,40.791654,-73.964682,Central Park W,New York,NY,New York County,10025
R251,N039,LEFFERTS BLVD,BC,IND,40.791654,-73.964682,Central Park W,New York,NY,New York County,10025
R262,B017,VAN WYCK BLVD,BQ,BMT,40.643982,-73.96451,Beverley Rd,Brooklyn,NY,Kings County,11226
R060,R621,BEACH 98 ST,23,IRT,40.672013,-73.96436,Eastern Pkwy,Brooklyn,NY,Kings County,11238
R159,R173,JAMAICA-VAN WYC,1,IRT,40.80819,-73.964124,W 116th St,New York,NY,New York County,10027
R177,R246,BROAD CHANNEL,6,IRT,40.768143,-73.964016,Lexington Ave,New York,NY,New York County,10065
R468,TRAM1,BEACH 90 ST,R,RIT,40.761268,-73.964016,E 60th St,New York,NY,New York County,10022
R184,B018,SUTPHIN BLVD,BQ,BMT,40.640905,-73.963866,E 16th St,Brooklyn,NY,Kings County,11226
R098,B016,PARSONS BLVD,BQ,BMT,40.650494,-73.962836,St Pauls Pl,Brooklyn,NY,Kings County,11226
R098,B015,JAMAICA CENTER,BQ,BMT,40.650494,-73.962836,St Pauls Pl,Brooklyn,NY,Kings County,11226
R149,B019,BEACH 67 ST,BQ,BMT,40.635059,-73.962793,Newkirk Plz,Brooklyn,NY,Kings County,11226
R196,B012,169 ST,BQS,BMT,40.661596,-73.962193,Flatbush Ave,Brooklyn,NY,Kings County,11225
R196,B013,BEACH 60 ST,BQS,BMT,40.661596,-73.962193,Flatbush Ave,Brooklyn,NY,Kings County,11225
R172,B029,JAMAICA-179 ST,BQ,BMT,40.577961,-73.961806,Brighton 6th St,Brooklyn,NY,Kings County,11235
R172,B031,JFK JAMAICA CT1,BQ,BMT,40.577961,-73.961806,Brighton 6th St,Brooklyn,NY,Kings County,11235
R263,B020,JFK JAMAICA CT2,BQ,BMT,40.629164,-73.961678,E 15th St,Brooklyn,NY,Kings County,11230
R314,N037,BEACH 44 ST,BC,IND,40.796105,-73.961399,Central Park W,New York,NY,New York County,10025
R148,B014,BEACH 36 ST,BQ,BMT,40.655053,-73.961227,Parkside Ave,Brooklyn,NY,Kings County,11226
R228,B021,BEACH 25 ST,BQ,BMT,40.625028,-73.960819,Ave J,Brooklyn,NY,Kings County,11230
R287,N419,FAR ROCKAWAY,G,IND,40.688855,-73.960025,Lafayette Ave,Brooklyn,NY,Kings County,11238
R178,R248,174-175 ST,6,IRT,40.773636,-73.959875,Lexington Ave,New York,NY,New York County,10075
R178,R247,WHITEHALL ST,6,IRT,40.773636,-73.959875,Lexington Ave,New York,NY,New York County,10075
R229,B022,SOUTH FERRY,BQ,BMT,40.617568,-73.95936,E 16th St,Brooklyn,NY,Kings County,11230
R412,B010,WEST COUNTY CTR,S2345,BMT,40.670499,-73.958759,Eastern Pkwy,Brooklyn,NY,Kings County,11225
R034,R174,METROCARD BUS 1,1,IRT,40.815596,-73.958395,Broadway,New York,NY,New York County,10027
R334,N035,METROCARD BUS 2,BC,IND,40.800637,-73.958201,Cathedral Pkwy,New York,NY,New York County,10026
R334,N034,METROCARD VAN-1,BC,IND,40.800637,-73.958201,Cathedral Pkwy,New York,NY,New York County,10026
R123,R622,METROCARD VAN-2,2345S,IRT,40.670711,-73.958051,Eastern Pkwy,Brooklyn,NY,Kings County,11225
R411,B009,METROCARD VAN-3,S,BMT,40.67491,-73.957794,Prospect Pl,Brooklyn,NY,Kings County,11238
R211,B024,NYC & CO - 7 AV,BQ,BMT,40.608691,-73.957772,Kings Hwy,Brooklyn,NY,Kings County,11229
R211,B023,LIB-HEMPSTEAD,BQ,BMT,40.608691,-73.957772,Kings Hwy,Brooklyn,NY,Kings County,11229
R211,B024A,THIRTY ST,BQ,BMT,40.608691,-73.957772,Kings Hwy,Brooklyn,NY,Kings County,11229
R460,J002,PAVONIA/NEWPORT,JMZ,BMT,40.708377,-73.957751,Broadway,Brooklyn,NY,Kings County,11211
R460,J001,9TH STREET,JMZ,BMT,40.708377,-73.957751,Broadway,Brooklyn,NY,Kings County,11211
R235,H009,NEWARK HW BMEBE,L,BMT,40.717241,-73.956614,N 7th St,Brooklyn,NY,Kings County,11211
R297,N113,NEWARK BM BW,ACS,IND,40.681159,-73.956056,Fulton St,Brooklyn,NY,Kings County,11238
R297,N114,NEWARK C,ACS,IND,40.681159,-73.956056,Fulton St,Brooklyn,NY,Kings County,11238
R150,B025,NEWARK HM HE,BQ,BMT,40.599307,-73.955916,E 16th St,Brooklyn,NY,Kings County,11229
R179,R250,CITY / BUS,456,IRT,40.779485,-73.955541,E 86th St,New York,NY,New York County,10028
R179,R249,LACKAWANNA,456,IRT,40.779485,-73.955541,E 86th St,New York,NY,New York County,10028
R230,B026,,BQ,BMT,40.595234,-73.95509,Gravesend Neck Rd,Brooklyn,NY,Kings County,11229
R333,N030,,BC,IND,40.805072,-73.954833,W 117th St,New York,NY,New York County,10026
R333,N029,,BC,IND,40.805072,-73.954833,W 117th St,New York,NY,New York County,10026
R239,N405,,G,IND,40.731324,-73.954425,Manhattan Ave,Brooklyn,NY,Kings County,11222
R239,N403,,G,IND,40.731324,-73.954425,Manhattan Ave,Brooklyn,NY,Kings County,11222
R136,B027,,BQ,BMT,40.58681,-73.954167,Sheepshead Bay Rd,Brooklyn,NY,Kings County,11235
R136,B028,,BQ,BMT,40.58681,-73.954167,Sheepshead Bay Rd,Brooklyn,NY,Kings County,11235
R469,TRAM2,,R,RIT,40.7574,-73.954006,East Rd,New York,NY,New York County,10044
R169,R176,,1,IRT,40.821994,-73.953674,Broadway,New York,NY,New York County,10031
R169,R175,,1,IRT,40.821994,-73.953674,Broadway,New York,NY,New York County,10031
R276,R504,,7,IRT,40.742624,-73.953545,50th Ave,Long Island City,NY,Queens County,11101
R276,R503,,7,IRT,40.742624,-73.953545,50th Ave,Long Island City,NY,Queens County,11101
R276,R506,,7,IRT,40.742624,-73.953545,50th Ave,Long Island City,NY,Queens County,11101
R352,J003,,JM,BMT,40.706994,-73.953481,Broadway,Brooklyn,NY,Kings County,11211
R269,N417,,G,IND,40.689636,-73.953459,Lafayette Ave,Brooklyn,NY,Kings County,11205
R269,N418,,G,IND,40.689636,-73.953459,Lafayette Ave,Brooklyn,NY,Kings County,11205
R259,N602,,F,IND,40.759123,-73.953266,East Rd,New York,NY,New York County,10044
R102,N026,,ACBD,IND,40.811056,-73.952386,Saint Nicholas Ave,New York,NY,New York County,10027
R102,N025,,ACBD,IND,40.811056,-73.952386,Saint Nicholas Ave,New York,NY,New York County,10027
R323,R301,,23,IRT,40.79911,-73.951807,Lenox Ave,New York,NY,New York County,10026
R268,H012,,GL,BMT,40.713875,-73.951592,Union Ave,Brooklyn,NY,Kings County,11211
R268,N409,,GL,IND,40.713875,-73.951592,Union Ave,Brooklyn,NY,Kings County,11211
R256,N408A,,G,IND,40.724608,-73.951271,Manhattan Ave,Brooklyn,NY,Kings County,11222
R144,R251,,6,IRT,40.785822,-73.95097,Lexington Ave,New York,NY,New York County,10128
R277,R635,,25,IRT,40.667879,-73.950648,Nostrand Ave,Brooklyn,NY,Kings County,11225
R209,R636,,25,IRT,40.662752,-73.950605,Nostrand Ave,Brooklyn,NY,Kings County,11225
R061,R623,,3,IRT,40.669735,-73.950455,Nostrand Ave,Brooklyn,NY,Kings County,11225
R273,R178,,1,IRT,40.826426,-73.950412,W 145th St,New York,NY,New York County,10031
R273,R177,,1,IRT,40.826426,-73.950412,W 145th St,New York,NY,New York County,10031
R299,N412,,G,IND,40.7061,-73.950348,Union Ave,Brooklyn,NY,Kings County,11211
R198,N116,,AC,IND,40.68041,-73.950326,Fulton St,Brooklyn,NY,Kings County,11216
R198,N117,,AC,IND,40.68041,-73.950326,Fulton St,Brooklyn,NY,Kings County,11216
R316,N414,,G,IND,40.700374,-73.950284,Wallabout St,Brooklyn,NY,Kings County,11206
R316,N414A,,G,IND,40.700374,-73.950284,Wallabout St,Brooklyn,NY,Kings County,11206
R451,R637,,25,IRT,40.656648,-73.950198,Nostrand Ave,Brooklyn,NY,Kings County,11225
R360,N401,,G,IND,40.743973,-73.949876,Jackson Ave,Long Island City,NY,Queens County,11101
R324,R303,,23,IRT,40.802098,-73.949625,Lenox Ave,New York,NY,New York County,10026
R324,R302,,23,IRT,40.802098,-73.949625,Lenox Ave,New York,NY,New York County,10026
R109,R639,,25,IRT,40.650843,-73.949575,Nostrand Ave,Brooklyn,NY,Kings County,11226
R286,N415,,G,IND,40.694568,-73.949046,Marcy Ave,Brooklyn,NY,Kings County,11206
R286,N416,,G,IND,40.694568,-73.949046,Marcy Ave,Brooklyn,NY,Kings County,11206
R210,R641,,25,IRT,40.645089,-73.948975,Nostrand Ave,Brooklyn,NY,Kings County,11226
R134,R507,,7,IRT,40.74238,-73.948889,49th Ave,Long Island City,NY,Queens County,11101
R135,R643,,25,IRT,40.639961,-73.948352,Newkirk Ave,Brooklyn,NY,Kings County,11226
R135,R644,,25,IRT,40.639961,-73.948352,Newkirk Ave,Brooklyn,NY,Kings County,11226
R332,N024,,BC,IND,40.817902,-73.947644,Saint Nicholas Ave,New York,NY,New York County,10030
R332,N023,,BC,IND,40.817902,-73.947644,Saint Nicholas Ave,New York,NY,New York County,10030
R332,N022,,BC,IND,40.817902,-73.947644,Saint Nicholas Ave,New York,NY,New York County,10030
R110,R645,,25,IRT,40.632836,-73.947642,Flatbush Ave,Brooklyn,NY,Kings County,11210
R110,R646,,25,IRT,40.632836,-73.947642,Flatbush Ave,Brooklyn,NY,Kings County,11210
R110,R647,,25,IRT,40.632836,-73.947642,Flatbush Ave,Brooklyn,NY,Kings County,11210
R180,R252,,6,IRT,40.790582,-73.947473,Lexington Ave,New York,NY,New York County,10029
R353,J005,,JM,BMT,40.703855,-73.947387,Broadway,Brooklyn,NY,Kings County,11206
R206,R304,,23,IRT,40.808076,-73.945906,Dr Martin Luther King Jr Blvd,New York,NY,New York County,10027
R206,R305,,23,IRT,40.808076,-73.945906,Dr Martin Luther King Jr Blvd,New York,NY,New York County,10027
R346,R508,,7,IRT,40.747029,-73.94537,23rd St,Long Island City,NY,Queens County,11101
R359,N307,,EMG,IND,40.747257,-73.945112,23rd St,Long Island City,NY,Queens County,11101
R359,N400,,EMG,IND,40.747257,-73.945112,23rd St,Long Island City,NY,Queens County,11101
R359,N400A,,EMG,IND,40.747257,-73.945112,23rd St,Long Island City,NY,Queens County,11101
R193,R180,,1,IRT,40.833879,-73.944726,W 157th St,New York,NY,New York County,10032
R193,R179,,1,IRT,40.833879,-73.944726,W 157th St,New York,NY,New York County,10032
R181,R253,,6,IRT,40.795066,-73.944297,Lexington Ave,New York,NY,New York County,10029
R181,R254,,6,IRT,40.795066,-73.944297,Lexington Ave,New York,NY,New York County,10029
R101,N020,,ABCD,IND,40.824787,-73.944232,Saint Nicholas Ave,New York,NY,New York County,10031
R101,N019,,ABCD,IND,40.824787,-73.944232,Saint Nicholas Ave,New York,NY,New York County,10031
R249,H014,,L,BMT,40.71459,-73.944104,Metropolitan Ave,Brooklyn,NY,Kings County,11211
R249,H013,,L,BMT,40.71459,-73.944104,Metropolitan Ave,Brooklyn,NY,Kings County,11211
R303,N603,,F,IND,40.7541,-73.94258,41st Ave,Long Island City,NY,Queens County,11101
R124,R624,,3,IRT,40.669409,-73.942173,Eastern Pkwy,Brooklyn,NY,Kings County,11213
R377,J007,,JM,BMT,40.700244,-73.941658,Broadway,Brooklyn,NY,Kings County,11206
R182,R256,,6,IRT,40.798574,-73.941593,E 116th St,New York,NY,New York County,10029
R182,R257,,6,IRT,40.798574,-73.941593,E 116th St,New York,NY,New York County,10029
R331,N017,,C,IND,40.830551,-73.941486,Saint Nicholas Ave,New York,NY,New York County,10032
R207,R306,,23,IRT,40.814459,-73.940992,W 135th St,New York,NY,New York County,10030
R207,R307,,23,IRT,40.814459,-73.940992,W 135th St,New York,NY,New York County,10030
R199,N119,,C,IND,40.679921,-73.940858,Fulton St,Brooklyn,NY,Kings County,11216
R199,N118,,C,IND,40.679921,-73.940858,Fulton St,Brooklyn,NY,Kings County,11216
R250,H016,,L,BMT,40.711874,-73.94067,Bushwick Ave,Brooklyn,NY,Kings County,11206
R250,H015,,L,BMT,40.711874,-73.94067,Bushwick Ave,Brooklyn,NY,Kings County,11206
R121,R509,,7NQ,IRT,40.750508,-73.940177,Queens Plz S,Long Island City,NY,Queens County,11101
R035,N012,,1AC,IND,40.840778,-73.940091,Broadway,New York,NY,New York County,10032
R035,N013,,AC1,IND,40.840778,-73.940091,Broadway,New York,NY,New York County,10032
R035,R182,,1AC,IRT,40.840778,-73.940091,Broadway,New York,NY,New York County,10032
R265,H017,,L,BMT,40.707889,-73.940005,Bushwick Ave,Brooklyn,NY,Kings County,11206
R296,N016A,,C,IND,40.835957,-73.939898,St Nicholas Ave,New York,NY,New York County,10032
R126,N010,,A,IND,40.847369,-73.939683,Fort Washington Ave,New York,NY,New York County,10033
R126,N011,,A,IND,40.847369,-73.939683,Fort Washington Ave,New York,NY,New York County,10033
R315,N202,,BD,IND,40.829934,-73.938632,W 155th St,New York,NY,New York County,10032
